epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,90.949,1.02421,0.8305,1.17943,0.24224,0.39512,0.26784,0.12826,1.78338,3.61127,2.12427,0.0003235,0.0003235,0.0003235
43,92.8882,1.07214,0.79616,1.14254,0.33548,0.32441,0.30368,0.14426,1.86138,3.70768,2.20696,0.000307,0.000307,0.000307
44,95.2253,0.98992,0.72185,1.09663,0.25168,0.23346,0.2447,0.10967,1.78677,3.9307,2.15046,0.0002905,0.0002905,0.0002905
45,96.9308,1.03169,0.83401,1.19287,0.1575,0.26144,0.16168,0.08189,1.73367,3.98387,2.12921,0.000274,0.000274,0.000274
46,98.5941,0.97157,0.73938,1.10969,0.17211,0.26807,0.13387,0.06247,1.74669,4.01336,2.16959,0.0002575,0.0002575,0.0002575
47,100.273,1.01717,0.74101,1.1376,0.13852,0.24183,0.13566,0.06039,1.76245,3.96829,2.20972,0.000241,0.000241,0.000241
48,101.968,0.95308,0.69341,1.07196,0.15355,0.24793,0.16133,0.074,1.7743,3.98781,2.16223,0.0002245,0.0002245,0.0002245
49,103.659,0.84803,0.69166,1.03581,0.13811,0.24183,0.15478,0.07361,1.69982,4.01313,2.04745,0.000208,0.000208,0.000208
50,105.422,0.93398,0.71896,1.17481,0.16055,0.24183,0.15917,0.07785,1.65409,3.99267,1.99453,0.0001915,0.0001915,0.0001915
51,111.008,0.87646,0.66483,1.09104,0.18547,0.26144,0.15134,0.0718,1.74412,3.9256,2.05138,0.000175,0.000175,0.000175
52,113.505,0.88122,0.68206,1.12409,0.16051,0.26144,0.12659,0.07757,1.73906,3.88399,2.01314,0.0001585,0.0001585,0.0001585
53,115.887,0.891,0.71351,1.06457,0.13384,0.15033,0.12546,0.0852,1.73339,3.91156,1.98834,0.000142,0.000142,0.000142
54,117.587,0.8233,0.66968,1.07843,0.17635,0.15033,0.11245,0.08532,1.72574,4.00357,1.98564,0.0001255,0.0001255,0.0001255
55,119.79,0.82706,0.63721,1.04512,0.16358,0.13072,0.10619,0.08262,1.68276,4.05494,1.95965,0.000109,0.000109,0.000109
56,121.703,0.81289,0.64647,1.06249,0.19145,0.13072,0.16001,0.14024,1.65257,4.09741,1.93926,9.25e-05,9.25e-05,9.25e-05
57,123.342,0.75831,0.59261,1.00917,0.30007,0.13072,0.16214,0.13006,1.63234,4.16448,1.92935,7.6e-05,7.6e-05,7.6e-05
58,124.983,0.76106,0.5899,1.00392,0.30995,0.13072,0.16041,0.12631,1.62397,4.22513,1.92926,5.95e-05,5.95e-05,5.95e-05
59,127.362,0.79037,0.62019,1.02233,0.31735,0.13072,0.15868,0.12643,1.6321,4.25853,1.94118,4.3e-05,4.3e-05,4.3e-05
60,129.037,0.75926,0.5764,1.0624,0.31109,0.13072,0.15432,0.12461,1.63492,4.28144,1.94508,2.65e-05,2.65e-05,2.65e-05
